key1,psAnswer1,accuracyScore
bear,bear,1
cliff,cliff,1
two,two,1
fuel,fuel,1
curl,curl,1
gut,gut,1
fade,fade,1
clean,clean,1
crawl,crawl,1
gun,gun,1
climb,climb,1
unit,unit,1
dial,dial,1
bunch,bunch,1
bench,bench,1
cloth,cloth,1
snake,sbake,0
feed,feed,1
glove,glove,1
fish,fish,1
blob,blob,1
broom,broom,1
blue,blur,0
beach,beach,1
fence,fence,1
bribe,bribe,1
flex,flex,1
fun,fun,1
foot,foot,1
bill,bill,1
axe,ex,0
swamp,swamp,1
build,build,1
faith,faith,1
slush,slush,1
drum,drum,1
budge,budge,1
bull,bull,1
creep,creep,1
crypt,crypt,1
guess,guests,0
fake,fit,0
dock,shot,0
flip,flip,1
bathe,bathe,1
bald,ball,0
coil,coil,1
gym,gym,1
cube,cube,1
swan,swine,0
chant,chest,0
chunk,chunk,1
dump,gum,0
eel,heal,0
flair,flame,0
fame,fin,0
blink,blink,1
strike,strike,1
nine,nine,1
blunt,blunt,1
