,psID,corsi_forward,lns_length,lns_hitCount,lns_missCount,lns_hitRate,d2_hitcount,d2_missCount,d2_faCount,d2_crCount,d2_hitRate,d2_faRate,d2_adjHitRate
0,15,7,7,8,4,0.6666666666666666,140,9,3,144,0.9395973154362416,0.02040816326530612,0.9191891521709354
1,49,7,8,9,5,0.6428571428571429,176,5,4,175,0.9723756906077348,0.0223463687150838,0.950029321892651
2,4,9,5,6,2,0.75,166,10,2,174,0.9431818181818182,0.011363636363636364,0.9318181818181819
3,48,8,8,11,3,0.7857142857142857,144,8,1,151,0.9473684210526315,0.006578947368421052,0.9407894736842105
4,35,6,7,9,3,0.75,149,6,0,157,0.9612903225806452,0.0,0.9612903225806452
5,10,7,9,13,3,0.8125,128,15,0,137,0.8951048951048951,0.0,0.8951048951048951
6,33,6,6,6,4,0.6,155,5,2,158,0.96875,0.0125,0.95625
7,27,7,8,10,4,0.7142857142857143,174,2,3,173,0.9886363636363636,0.017045454545454544,0.9715909090909091
8,9,8,7,9,3,0.75,150,7,2,153,0.9554140127388535,0.012903225806451613,0.9425107869324019
9,12,7,6,6,4,0.6,137,6,7,138,0.958041958041958,0.04827586206896552,0.9097660959729925
10,39,7,7,9,3,0.75,151,9,7,153,0.94375,0.04375,0.9
11,54,7,9,12,4,0.75,138,15,2,149,0.9019607843137255,0.013245033112582781,0.8887157512011428
12,34,7,9,14,2,0.875,151,5,0,156,0.967948717948718,0.0,0.967948717948718
13,30,5,7,10,2,0.8333333333333334,128,8,1,135,0.9411764705882353,0.007352941176470588,0.9338235294117647
14,46,6,4,2,4,0.3333333333333333,145,15,5,155,0.90625,0.03125,0.875
15,51,7,7,8,4,0.6666666666666666,151,5,0,156,0.967948717948718,0.0,0.967948717948718
16,42,9,8,10,4,0.7142857142857143,112,21,1,130,0.8421052631578947,0.007633587786259542,0.8344716753716351
17,22,7,12,18,4,0.8181818181818182,158,5,3,162,0.9693251533742331,0.01818181818181818,0.9511433351924149
18,50,7,7,9,3,0.75,143,9,11,141,0.9407894736842105,0.07236842105263158,0.868421052631579
19,19,7,7,8,4,0.6666666666666666,166,8,2,168,0.9540229885057471,0.011764705882352941,0.9422582826233942
20,20,7,6,8,2,0.8,162,6,2,166,0.9642857142857143,0.011904761904761904,0.9523809523809524
21,16,7,7,10,2,0.8333333333333334,178,9,0,189,0.9518716577540107,0.0,0.9518716577540107
22,25,6,8,10,4,0.7142857142857143,172,2,0,170,0.9885057471264368,0.0,0.9885057471264368
23,41,5,7,8,4,0.6666666666666666,105,35,13,127,0.75,0.09285714285714286,0.6571428571428571
24,6,5,5,5,3,0.625,169,6,3,174,0.9657142857142857,0.01694915254237288,0.9487651331719129
25,26,8,6,6,4,0.6,138,4,1,145,0.971830985915493,0.00684931506849315,0.9649816708469998
26,43,7,5,5,3,0.625,142,7,4,143,0.9530201342281879,0.027210884353741496,0.9258092498744463
27,53,5,4,2,4,0.3333333333333333,104,20,7,117,0.8387096774193549,0.056451612903225805,0.7822580645161291
28,52,8,4,2,4,0.3333333333333333,115,8,7,118,0.9349593495934959,0.056,0.8789593495934959
29,38,7,8,11,3,0.7857142857142857,166,3,2,165,0.9822485207100592,0.011976047904191617,0.9702724728058676
30,29,6,8,10,4,0.7142857142857143,124,28,6,146,0.8157894736842105,0.039473684210526314,0.7763157894736842
31,45,5,6,6,4,0.6,131,19,0,154,0.8733333333333333,0.0,0.8733333333333333
32,24,6,5,6,2,0.75,113,21,11,127,0.8432835820895522,0.07971014492753623,0.763573437162016
33,21,6,6,8,2,0.8,148,3,5,148,0.9801324503311258,0.032679738562091505,0.9474527117690343
34,Cmtest3,6,5,2,6,0.25,0,124,0,124,0.0,0.0,0.0
35,3,7,4,2,4,0.3333333333333333,131,25,3,153,0.8397435897435898,0.019230769230769232,0.8205128205128205
36,14,7,6,8,2,0.8,163,4,3,166,0.9760479041916168,0.01775147928994083,0.958296424901676
37,44,6,10,14,4,0.7777777777777778,156,4,1,159,0.975,0.00625,0.96875
38,32,8,7,8,4,0.6666666666666666,165,11,10,166,0.9375,0.056818181818181816,0.8806818181818182
39,Actest,2,4,0,6,0.0,11,112,0,125,0.08943089430894309,0.0,0.08943089430894309
40,23,8,7,9,3,0.75,152,8,3,157,0.95,0.01875,0.9312499999999999
41,8,7,8,11,3,0.7857142857142857,166,3,0,167,0.9822485207100592,0.0,0.9822485207100592
42,18,7,7,10,2,0.8333333333333334,141,7,0,148,0.9527027027027027,0.0,0.9527027027027027
43,47,7,6,6,4,0.6,156,20,5,171,0.8863636363636364,0.028409090909090908,0.8579545454545454
44,13,8,7,10,2,0.8333333333333334,135,2,1,134,0.9854014598540146,0.007407407407407408,0.9779940524466072
45,7,7,6,8,2,0.8,175,5,0,180,0.9722222222222222,0.0,0.9722222222222222
46,28,7,5,6,2,0.75,137,7,5,139,0.9513888888888888,0.034722222222222224,0.9166666666666666
47,40,8,8,10,4,0.7142857142857143,185,3,1,187,0.9840425531914894,0.005319148936170213,0.9787234042553191
48,11,7,8,10,4,0.7142857142857143,159,5,9,155,0.9695121951219512,0.054878048780487805,0.9146341463414633
49,37,7,5,6,2,0.75,164,2,3,167,0.9879518072289156,0.01764705882352941,0.9703047484053862
50,17,7,8,12,2,0.8571428571428571,162,2,0,164,0.9878048780487805,0.0,0.9878048780487805
51,36,7,6,8,2,0.8,139,5,1,143,0.9652777777777778,0.006944444444444444,0.9583333333333334
